LFQ.intensity.11930	LFQ.intensity.11931	LFQ.intensity.11932	LFQ.intensity.11934	LFQ.intensity.12902	LFQ.intensity.12904	LFQ.intensity.12905	LFQ.intensity.13136	LFQ.intensity.13138	LFQ.intensity.13152	LFQ.intensity.13155	LFQ.intensity.13186	LFQ.intensity.13234	C: ANOVA Significant	N: -Log ANOVA p value	N: ANOVA q-value	T: Protein_IDs	T: Significant pairs
20.7969	20.7255	21.0416	20.8887	21.0381	21.0816	21.7143	20.1361	24.0096	24.1107	20.3882	23.7285	24.3135	+	6.09667	0.000313725	NP_001106165.1;XP_020932286.1	DMD_BMD;DMD_WT
26.6278	26.8312	26.3787	27.0069	26.3205	26.727	26.8061	26.8802	26.0154	26.4396	26.1501	25.6957	25.9384	+	1.68878	0.00871518	XP_020933449.1;XP_005660542.2;NP_001106518.1;XP_020933955.1	BMD_DMD
19.8459	20.8976	20.8501	20.6956	20.8926	20.3054	20.4211	21.7851	23.9708	21.0383	21.2496	24.1956	23.3281	+	2.28046	0.00309859	NP_001106688.1	DMD_BMD;DMD_WT
28.2553	29.0623	28.3845	29.5002	28.2059	28.7335	29.3187	29.6181	30.3304	29.6605	27.432	29.9639	29.2135	+	1.11598	0.0348153	XP_020947911.1;NP_001106758.1;XP_013843801.1	
20.235	19.9652	21.0206	20.8675	24.8838	22.0237	21.2371	24.3919	25.1296	24.6526	21.1084	25.2015	25.3785	+	3.02359	0.00069962	NP_001106912.1;XP_005665006.2;XP_013854376.2	WT_BMD;DMD_BMD;DMD_WT
25.7725	25.3071	25.565	25.1149	25.9466	25.5646	25.8036	26.2893	27.1388	27.3678	25.2432	27.2391	27.6375	+	4.85826	0.000302521	NP_001106913.1	DMD_BMD;DMD_WT
23.9194	23.5563	20.475	19.9363	24.8108	20.4963	20.4921	24.5866	26.0505	26.2426	24.4147	26.4219	26.9508	+	1.82732	0.00671493	NP_001107756.1	DMD_BMD;DMD_WT
23.8396	23.9308	24.3892	24.2593	20.5622	25.137	24.6615	24.7584	25.9904	25.9462	25.1771	25.8057	26.256	+	1.08258	0.038253	NP_001116458.1	
20.0888	19.5097	19.646	20.3173	21.0497	20.6718	22.1412	20.4822	24.3893	24.934	20.7879	24.5259	24.7112	+	6.76306	0.000235294	NP_001116459.1;XP_020940073.1;XP_020940072.1;XP_020940071.1;XP_020940070.1;XP_001928917.1;XP_003123703.1	WT_BMD;DMD_BMD;DMD_WT
25.2162	25.171	25.1747	25.2233	20.4444	19.7211	20.8645	25.3083	24.9246	24.8701	21.2608	21.4368	24.8365	+	1.65345	0.00951111	NP_001116558.1;XP_020932343.1	BMD_WT
20.9714	24.7824	24.1605	19.4814	20.4663	20.1101	20.6753	25.2151	25.6061	25.3603	24.8613	25.0325	25.9251	+	1.03924	0.0428242	NP_001116568.1;XP_020932429.1	
20.8267	20.2034	20.333	20.1742	20.3485	19.2566	20.8438	21.3043	24.3069	24.2768	20.6735	24.2616	24.1853	+	6.05515	0.000301887	NP_001116576.1	DMD_BMD;DMD_WT
22.4416	21.0687	21.19	21.0384	20.2258	19.9639	19.9313	20.5537	23.8974	24.6164	20.6947	23.9232	25.3199	+	5.64366	0.000328767	NP_001116588.1;XP_005669625.1;XP_020924205.1;XP_005669626.1;NP_001116587.2;NP_001116589.1;XP_005663643.1;XP_020919153.1;XP_020924465.1;XP_020952753.1;XP_020924461.1;XP_020919152.1;XP_020945729.1;XP_020924464.1;XP_013837188.1;XP_020924462.1;XP_020919151.1;XP_020952754.1;XP_020951707.1;XP_020951706.1;XP_003482083.4	BMD_WT;DMD_WT;DMD_BMD
20.3185	20.9268	21.0495	20.8967	20.8434	20.8463	19.4855	22.2151	24.8185	24.933	20.4615	24.8035	24.7808	+	5.37397	0.000387097	NP_001116644.1	DMD_WT;DMD_BMD
20.4983	22.5104	24.3316	22.4782	19.7559	20.7016	20.1644	20.9289	24.6188	25.1062	21.0607	22.1182	26.6264	+	2.35291	0.00276657	XP_020953998.1;NP_001116676.1;XP_020953997.1;XP_020953999.1;XP_020953996.1;XP_020953995.1;XP_020953994.1;XP_020953993.1;XP_020953992.1;XP_020953991.1;XP_020953990.1;XP_020953989.1;XP_020953988.1;XP_020953987.1;XP_020953986.1	DMD_WT
36.0113	35.8929	36.0834	35.8686	36.5571	36.3788	36.0641	36.0489	35.8061	35.5283	36.3139	35.9501	35.5009	+	2.4322	0.00225826	NP_001123421.1	WT_DMD
20.3811	20.6049	20.556	24.5375	20.4269	24.5261	24.7126	24.6102	24.8601	24.9752	20.0055	24.8485	25.2539	+	1.13633	0.0329785	NP_001123426.1	
23.3481	21.08	23.6826	20.5752	21.1501	23.2398	24.0699	23.9409	24.1796	24.6552	21.0128	24.1332	25.1545	+	1.19465	0.028492	NP_001123427.1	
20.4029	20.49	20.7306	21.0497	21.7653	24.4096	21.0112	20.7383	25.8472	25.4624	20.5792	25.2694	25.5493	+	3.93222	0.000304094	NP_001123430.1	DMD_BMD;DMD_WT
26.274	26.8102	27.2372	26.8018	26.1067	26.5884	26.6101	26.4199	26.2844	26.332	26.7236	26.0058	26.3727	+	1.18862	0.0289172	NP_001123432.1	
25.6889	20.5113	21.2012	25.7101	22.6853	25.4247	25.521	25.4886	20.9352	21.0461	25.5316	20.9988	22.108	+	1.46267	0.0144396	NP_001123435.1	WT_DMD
25.7684	25.7014	25.9287	25.8414	25.7314	25.8458	26.0049	26.1536	26.8644	27.3555	26.4505	27.3024	27.6028	+	4.81195	0.000288	NP_001123436.2	DMD_BMD;DMD_WT
25.6185	25.394	25.5729	25.6434	26.1062	25.7939	25.6644	25.288	24.7906	25.2114	25.6282	25.3612	24.95	+	2.02184	0.00462843	NP_001124205.1	BMD_DMD;WT_DMD
20.1639	20.3965	20.638	20.4604	22.6498	20.1935	20.8724	19.9887	20.5335	23.5759	21.3582	23.6947	23.7084	+	1.62656	0.00988889	NP_001124518.1	DMD_BMD
20.7778	20.2769	20.5243	20.4817	20.3057	20.3733	22.4221	20.3648	25.0127	24.8409	21.9552	25.1719	25.3021	+	5.47985	0.000413793	NP_001127815.1;XP_020934962.1;XP_020934957.1;XP_020934955.1;XP_020934960.1;XP_020934959.1;XP_020934958.1;XP_020934954.1;XP_020934966.1;XP_020934965.1;XP_020934963.1;XP_020934961.1;XP_020934956.1	DMD_BMD;DMD_WT
20.8006	20.879	20.4059	20.3671	21.8446	20.8578	20.3847	19.5396	24.5829	24.2681	22.8479	24.3533	24.8257	+	3.98573	0.000309524	NP_001127826.1;XP_005662565.1	DMD_BMD;DMD_WT
19.6967	20.9013	21.0021	20.2477	23.4496	20.2562	20.5573	20.2235	24.2355	23.7232	20.8554	20.7505	24.3024	+	1.53541	0.0122534	NP_001127829.1	DMD_BMD
20.7287	19.8189	25.3326	25.6245	25.1576	25.2756	25.1072	25.3348	26.2569	26.3393	25.7399	26.4144	26.6262	+	1.44662	0.0150365	NP_001131091.1	DMD_BMD
24.767	25.0384	24.8011	25.271	25.3453	25.0581	25.206	25.2447	25.5325	25.1662	25.0792	25.4969	25.6728	+	1.88737	0.00601405	NP_001131100.1	DMD_BMD
25.3889	25.1779	24.8233	25.1451	25.4416	25.5202	25.3772	25.3662	25.6078	25.7291	25.3718	25.8436	25.9153	+	3.26609	0.000537815	NP_001132944.1	DMD_BMD;DMD_WT
20.2845	20.3952	26.117	25.8772	26.8536	25.8495	26.5481	26.4941	28.014	27.305	26.0228	28.0811	27.8206	+	1.87344	0.00614884	XP_020936571.1;NP_001135463.2	DMD_BMD
20.3637	20.4729	23.9724	24.3732	24.5046	24.3996	21.0223	24.2138	25.653	25.3694	22.8134	25.5196	25.2416	+	1.37977	0.0177254	NP_001137188.1	DMD_BMD
27.7223	27.1138	26.7221	27.5984	26.2178	28.4533	27.7593	27.271	29.0445	28.837	25.3614	29.1552	28.545	+	1.77624	0.00731579	NP_001137400.1	DMD_WT
25.0235	25.7087	25.5186	25.0472	25.378	25.1228	25.2355	25.2067	25.8318	26.0454	25.9087	26.0711	26.1025	+	2.02188	0.00464	NP_001138373.1;XP_020944406.1;XP_020944407.1	DMD_BMD;DMD_WT
28.3287	28.1822	28.0145	28.3039	27.6892	27.9721	28.0229	27.9422	28.1984	27.5537	27.649	27.309	26.9726	+	1.49491	0.0135113	NP_001139226.1	BMD_DMD
